time,signal,
0,-0.176919531,160
0.001109443,-0.118538376,160
0.002218886,-0.060157221,160
0.003328328,-0.050227314,160
0.004437771,-0.089482804,160
0.005547214,-0.128738294,160
0.006656657,-0.18204673,160
0.007766099,-0.235461633,160
0.008875542,-0.210978855,160
0.009984985,-0.105003217,160
0.011094428,0.000972422,160
0.012203871,-0.046105239,160
0.013313313,-0.095519576,160
0.014422756,-0.136265444,160
0.015532199,-0.167665617,160
0.016641642,-0.19906579,160
0.017751084,-0.23230649,160
0.018860527,-0.265589665,160
0.01996997,-0.244336373,160
0.021079413,-0.162487103,160
0.022188856,-0.080637833,160
0.023298298,-0.159772374,160
0.024407741,-0.243898627,160
0.025517184,-0.259116392,160
0.026626627,-0.195422822,160
0.027736069,-0.131729251,160
0.028845512,-0.162474819,160
0.029954955,-0.196909437,160
0.031064398,-0.225694451,160
0.03217384,-0.247811069,160
0.033283283,-0.269927687,160
0.034392726,-0.24154479,160
0.035502169,-0.210776105,160
0.036611612,-0.190268984,160
0.037721054,-0.182246764,160
0.038830497,-0.174224543,160
0.03993994,-0.121878467,160
0.041049383,-0.067069948,160
0.042158825,-0.074633578,160
0.043268268,-0.160426781,160
0.044377711,-0.246219984,160
0.045487154,-0.228315775,160
0.046596597,-0.203774977,160
0.047706039,-0.180878134,160
0.048815482,-0.160107093,160
0.049924925,-0.139336052,160
0.051034368,-0.170359245,160
0.05214381,-0.205141697,160
0.053253253,-0.215578535,160
0.054362696,-0.193554525,160
0.055472139,-0.171530515,160
0.056581582,-0.168356065,160
0.057691024,-0.166714109,160
0.058800467,-0.132665962,160
0.05990991,-0.054059354,160
0.061019353,0.024547254,160
0.062128795,-0.05781519,160
0.063238238,-0.154691222,160
0.064347681,-0.216988559,160
0.065457124,-0.230246996,160
0.066566567,-0.243505433,160
0.067676009,-0.200642108,160
0.068785452,-0.152212967,160
0.069894895,-0.137938967,160
0.071004338,-0.173632595,160
0.07211378,-0.209326224,160
0.073223223,-0.21999979,160
0.074332666,-0.227962854,160
0.075442109,-0.245479687,160
0.076551552,-0.277417304,160
0.077660994,-0.309354921,160
0.078770437,-0.278688874,160
0.07987988,-0.240657674,160
0.080989323,-0.206120703,160
0.082098765,-0.177026677,160
0.083208208,-0.14793265,160
0.084317651,-0.193766239,160
0.085427094,-0.249124497,160
0.086536537,-0.276161313,160
0.087645979,-0.257661706,160
0.088755422,-0.239162098,160
0.089864865,-0.198135899,160
0.090974308,-0.154029138,160
0.09208375,-0.137638688,160
